kouhaku_name,rank,spotify_id,spotify_name,followers,popularity,similarity,score
あいみょん,1,4fdamIsxmL3l9CjRvAlEXo,あいみょん,742,3,1.0,62.9017310226244
あいみょん,2,6rs1KAoQnFalSqSU4LTh8g,back number,5968787,77,0.0,44.43951177610217
あいみょん,3,5kVZa4lFUmAQlBogl1fkd6,Aimyon,6038432,70,0.0,43.06110362851283
あいみょん,4,4DDoAL8n6ob19r3jOZEbJI,Kana Nishino,2027423,63,0.0,39.629761581509
あいみょん,5,4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,1354587,66,0.0,39.479172442958756
石川さゆり,1,6YIqgghQqnkNne8BKQpW6v,Keisuke Kuwata,927201,57,0.0,36.973602391494936
石川さゆり,2,7sl3PZyhzAqUpL3M6WVD8G,Kazuyoshi Saito,596864,54,0.0,35.553751650438684
石川さゆり,3,6r4KqrquvtAy0fcJUU2VGB,Eikichi Yazawa,232802,57,0.0,34.40137160148889
石川さゆり,4,2ukAOZg4TYhvIJyHGD6axu,石川さゆり :デュエット すぎもとまさと,25,0,0.45454545454545453,34.17298964755548
石川さゆり,5,55j8oSKnH8ni3P2FaNUwjP,Fuyumi Sakamoto,117797,44,0.0,30.533432415053408
星野源,1,0gIbpvrqmPtHQ8zyQpBDFt,星乃一歌,9008,38,0.2857142857142857,45.976978760745446
星野源,2,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,4644440,75,0.0,43.57257152889731
星野源,3,2rUfBClgdqQ4Svcg0A6gIl,乃紫,131398,58,0.0,43.53680894960301
星野源,4,4gwWRJBdufvMEHUuyjBDOs,大森元貴,176527,49,0.0,42.28633345982537
星野源,5,6GVsZoMbMt0jmqwcvz1a1F,汐れいら,44078,58,0.0,41.50380805956595
氷川きよし,1,1w61Z4Tm20rD2lYIxw0f8K,三山ひろし,15781,31,0.2,42.1920050849929
氷川きよし,2,6YIqgghQqnkNne8BKQpW6v,Keisuke Kuwata,927201,57,0.0,36.973602391494936
氷川きよし,3,5KLvrcsAUwqMOqxErwSJmD,Koji Tamaki,403514,56,0.0,35.2251083168052
氷川きよし,4,2FTUpyPZ3hqBPLwmaEH14B,Hideaki Tokunaga,408615,52,0.0,34.44848987971447
氷川きよし,5,47CIQFAst7iOrRZ16XOfP8,Kyoko Koizumi,115008,49,0.0,31.488834504683687
松田聖子,1,6G9h9p39TzvYDbzhxlrrog,松田里奈,190,33,0.5,46.366086861226414
松田聖子,2,2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,2128926,66,0.0,40.32068813967388
松田聖子,3,1LQQtqc1vQ1neUgZrjYlEU,Yumi Matsutoya,1216390,59,0.0,37.87888360484797
松田聖子,4,3E5NLQpQbd0eJ18XO9zC0h,Seiko Matsuda,490432,56,0.0,35.58819485517389
松田聖子,5,7140bcJ0ZySe314nUfOo1J,Akina Nakamori,573496,54,0.0,35.479415970624714
福山雅治,1,2mKmUsw9sXLrBFo6Yx6BcI,福山雅治,28,0,1.0,56.20210584860951
福山雅治,2,01O1K2of8wkNZJhWRlRFcT,舟津真翔,79726,51,0.0,41.20685703694564
福山雅治,3,5FGlhIQqewJRV8fx24toG0,Masaharu Fukuyama,1092151,55,0.0,36.8783543761059
福山雅治,4,6ecCVdF55fHdbVlAu1lJXU,FUNKY MONKEY BABYS,988464,53,0.0,36.292689386588634
福山雅治,5,2QgdUzpKFNxey5IuwvsGBL,Fujifabric,396263,50,0.0,33.99135795631055
上白石萌音,1,1iOlGJ3KYyhz2BMHDp5hPy,上白石萌歌,6137,25,0.8,63.23409767121685
上白石萌音,2,22RdCkknMnMCTC2WGilnGf,小春(上白石萌音),439,1,0.8333333333333334,54.85818127722814
上白石萌音,3,2GR0oaCTOgws9PfuheMw0k,白上フブキ,121651,43,0.2,48.39335292836384
上白石萌音,4,5YPkOSqagMwjOWf7PLjHNF,上野大樹,91639,40,0.2222222222222222,48.154947494695435
上白石萌音,5,1EowJ1WwkMzkCkRomFhui7,RADWIMPS,4855764,75,0.0,43.65538958993817
まふまふ,1,7liZanlb4L6Zamx8IVjcef,nqrse x まふまふ,5492,21,0.5714285714285714,53.0845594081345
まふまふ,2,06R4ZXJ8idknGfdQJJa3sp,まふまふバンド×luz,664,1,0.5714285714285714,45.152148911577214
まふまふ,3,1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,1768121,68,0.0,40.37505135272593
まふまふ,4,7fmXV2O48buswss04YetaN,HANA,504894,70,0.0,38.442286613036046
まふまふ,5,6t6aXZlmnAF1VuiG8BVjQZ,Mafumafu,665937,50,0.0,34.95757062278571
平井大,1,2rowJeEgetD5UWWFCV03JM,平井大,311,0,1.0,60.68325881011502
平井大,2,7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,1839097,65,0.0,39.84830558266745
平井大,3,2ZjWbNQAjL74Pf4aqikIz2,Shota Shimizu,1737725,65,0.0,39.74277592511822
平井大,4,6jIhEiXcCAyBsuEI7qZ9vc,Ken Hirai,1046513,56,0.0,36.99890554687302
平井大,5,2FTUpyPZ3hqBPLwmaEH14B,Hideaki Tokunaga,408615,52,0.0,34.44848987971447
宮本浩次,1,1WHl0zNoKR5M2NPZPbwcFA,宮本浩次,656,1,1.0,62.27244502589569
宮本浩次,2,1EowJ1WwkMzkCkRomFhui7,RADWIMPS,4855764,75,0.0,43.65538958993817
宮本浩次,3,27uDA7mGoHPHFvlBiZ4J9Z,中山美穂,80899,49,0.0,40.83404208553417
宮本浩次,4,3vVDusnDA0LcPH3NvZpoyM,Noriyuki Makihara,1036871,59,0.0,37.58167740557528
宮本浩次,5,0d4XqzcMpgP6eQZ6TIW2pI,My Hair is Bad,399520,61,0.0,36.2065936786026
藤井風,1,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,4644440,75,0.0,43.57257152889731
藤井風,2,6L7jieQ3QgDPkfFDk41GCw,藤田ことね,2642,41,0.25,42.86542634262218
藤井風,3,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,3600031,73,0.0,42.698455316468106
藤井風,4,5FGlhIQqewJRV8fx24toG0,Masaharu Fukuyama,1092151,55,0.0,36.8783543761059
藤井風,5,6ecCVdF55fHdbVlAu1lJXU,FUNKY MONKEY BABYS,988464,53,0.0,36.292689386588634
薬師丸ひろ子,1,1LQQtqc1vQ1neUgZrjYlEU,Yumi Matsutoya,1216390,59,0.0,37.87888360484797
薬師丸ひろ子,2,3E5NLQpQbd0eJ18XO9zC0h,Seiko Matsuda,490432,56,0.0,35.58819485517389
薬師丸ひろ子,3,0jMZY406RfgjK6PFKIRfAv,Kohmi Hirose,236712,49,0.0,32.83237260643666
薬師丸ひろ子,4,37yA8FvkJWnXZXbRg4IQaT,Hiroji Miyamoto,137139,53,0.0,32.616404192805305
