artist,artist_normalized,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks,has_spotify_data,past_appearances,prev_year_appeared,consecutive_years,appeared
BABYMONSTER,BABYMONSTER,2024,30.0,19589275.0,35.0,83.5,0.0,0.0,1,0,0,0,0
BE:FIRST,BE:FIRST,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BE:FIRST,BE:FIRST,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BE:FIRST,BE:FIRST,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BE:FIRST,BE:FIRST,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BE:FIRST,BE:FIRST,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BE:FIRST,BE:FIRST,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BE:FIRST,BE:FIRST,2022,43.0,24315718.0,8.0,67.88372093023256,2.0,0.0,1,0,0,0,1
BE:FIRST,BE:FIRST,2023,85.0,42068960.0,11.0,100.0470588235294,0.0,0.0,1,1,1,1,1
BE:FIRST,BE:FIRST,2024,39.0,15250680.0,66.0,136.94871794871796,0.0,0.0,1,2,1,2,1
BLACKPINK,BLACKPINK,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLACKPINK,BLACKPINK,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLACKPINK,BLACKPINK,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLACKPINK,BLACKPINK,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLACKPINK,BLACKPINK,2020,27.0,12801050.0,10.0,54.5925925925926,1.0,0.0,1,0,0,0,0
BLACKPINK,BLACKPINK,2021,31.0,6115094.0,95.0,150.48387096774192,0.0,0.0,1,0,0,0,0
BLACKPINK,BLACKPINK,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLACKPINK,BLACKPINK,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLACKPINK,BLACKPINK,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLOOM VASE,BLOOM VASE,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLOOM VASE,BLOOM VASE,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLOOM VASE,BLOOM VASE,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLOOM VASE,BLOOM VASE,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLOOM VASE,BLOOM VASE,2020,15.0,4879273.0,56.0,72.6,0.0,0.0,1,0,0,0,0
BLOOM VASE,BLOOM VASE,2021,99.0,53055898.0,13.0,67.15151515151516,0.0,0.0,1,0,0,0,0
BLOOM VASE,BLOOM VASE,2022,34.0,13035849.0,48.0,106.08823529411764,0.0,0.0,1,0,0,0,0
BLOOM VASE,BLOOM VASE,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BLOOM VASE,BLOOM VASE,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BTS,BTS,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BTS,BTS,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BTS,BTS,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BTS,BTS,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BTS,BTS,2020,240.0,102642106.0,1.0,91.84583333333332,19.0,9.0,1,0,0,0,0
BTS,BTS,2021,536.0,334837140.0,1.0,84.2294776119403,110.0,23.0,1,0,0,0,0
BTS,BTS,2022,321.0,180109384.0,2.0,85.1619937694704,4.0,0.0,1,0,0,0,0
BTS,BTS,2023,110.0,39416143.0,47.0,128.46363636363637,0.0,0.0,1,0,0,0,0
BTS,BTS,2024,41.0,14519210.0,130.0,164.46341463414635,0.0,0.0,1,0,0,0,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2020,50.0,8411703.0,83.0,120.26,0.0,0.0,1,0,0,0,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2021,1.0,164441.0,197.0,197.0,0.0,0.0,1,0,0,0,1
BUMP OF CHICKEN,BUMP OF CHICKEN,2022,43.0,20606324.0,10.0,122.7906976744186,1.0,0.0,1,1,1,1,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2023,25.0,9639112.0,35.0,134.52,0.0,0.0,1,1,0,0,0
BUMP OF CHICKEN,BUMP OF CHICKEN,2024,5.0,1730221.0,158.0,176.4,0.0,0.0,1,1,0,0,0
BiSH,BiSH,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BiSH,BiSH,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BiSH,BiSH,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BiSH,BiSH,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BiSH,BiSH,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BiSH,BiSH,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,1
BiSH,BiSH,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,1,1,1,0
BiSH,BiSH,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,1,0,0,0
BiSH,BiSH,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,1,0,0,0
Billie Eilish,Billie Eilish,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Billie Eilish,Billie Eilish,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Billie Eilish,Billie Eilish,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Billie Eilish,Billie Eilish,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Billie Eilish,Billie Eilish,2020,53.0,18652752.0,9.0,77.05660377358491,2.0,0.0,1,0,0,0,0
Billie Eilish,Billie Eilish,2021,16.0,2982545.0,98.0,156.4375,0.0,0.0,1,0,0,0,0
Billie Eilish,Billie Eilish,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Billie Eilish,Billie Eilish,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Billie Eilish,Billie Eilish,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CANDY TUNE,CANDY TUNE,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CHANMINA,CHANMINA,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CHANMINA,CHANMINA,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CHANMINA,CHANMINA,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CHANMINA,CHANMINA,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CHANMINA,CHANMINA,2020,53.0,12071272.0,55.0,80.20754716981132,0.0,0.0,1,0,0,0,0
CHANMINA,CHANMINA,2021,26.0,5152717.0,113.0,153.76923076923077,0.0,0.0,1,0,0,0,0
CHANMINA,CHANMINA,2022,15.0,3453727.0,119.0,155.06666666666666,0.0,0.0,1,0,0,0,0
CHANMINA,CHANMINA,2023,7.0,2243534.0,154.0,168.85714285714286,0.0,0.0,1,0,0,0,0
CHANMINA,CHANMINA,2024,46.0,16353926.0,100.0,165.3913043478261,0.0,0.0,1,0,0,0,0
CUTIE STREET,CUTIE STREET,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CUTIE STREET,CUTIE STREET,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CUTIE STREET,CUTIE STREET,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CUTIE STREET,CUTIE STREET,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CUTIE STREET,CUTIE STREET,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
CUTIE STREET,CUTIE STREET,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
