artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
TWICE,2020,147,41240107,12,96.21768707482993,0,0
TWICE,2021,135,42935153,10,121.34814814814816,1,0
TWICE,2022,96,56579250,10,76.14583333333333,1,0
TWICE,2023,83,35065429,13,121.91566265060241,0,0
Takaya Kawasaki,2020,15,7320861,26,55.0,0,0
Takaya Kawasaki,2021,52,47835704,13,23.53846153846154,0,0
Takaya Kawasaki,2022,52,38489605,18,41.78846153846154,0,0
Takaya Kawasaki,2023,45,13864878,76,161.48888888888888,0,0
Takaya Kawasaki,2024,22,7932001,80,166.36363636363637,0,0
Takaya Kawasaki,2025,32,12029988,97,168.84375,0,0
Tani Yuuki,2020,26,20500586,10,28.23076923076923,1,0
Tani Yuuki,2021,42,15892074,42,108.04761904761905,0,0
Tani Yuuki,2022,77,94810066,1,35.58441558441559,45,14
Tani Yuuki,2023,105,88526323,3,57.57142857142857,21,0
Tani Yuuki,2024,97,58475510,30,101.85567010309278,0,0
Tani Yuuki,2025,49,25881114,61,86.40816326530613,0,0
Tatsuya Kitani,2023,25,42125460,3,6.96,21,0
Tatsuya Kitani,2024,52,38437610,10,62.34615384615385,1,0
Tatsuya Kitani,2025,18,6519577,105,175.05555555555554,0,0
Taylor Swift,2023,25,9144594,89,129.0,0,0
Taylor Swift,2024,44,22936473,26,101.56818181818181,0,0
